id,viewCount,likeCount,dislikeCount,commentCount,likeRatio %,commentRatio %
Fa79f_dJTK4,11866,62,25,24,71.3,0.2023
YOlXfW21XJ0,88451,1933,128,169,93.8,0.1911
Z3VrTShulUQ,20148,127,13,2,90.7,0.0099
_LtwcyfFbvQ,223,8,0,4,100.0,1.7937
n-AfBZYXIAo,109004,2551,15,58,99.4,0.0532
M9IuCFmrOR0,67,8,0,5,100.0,7.4627
INxMmFpEhd0,589,95,0,61,100.0,10.3565
hNAbMPr5aLc,100,15,0,8,100.0,8.0000
2xHaaj12X3Y,15878,109,5,32,95.6,0.2015
KuqqKCBOZ4Q,2202,79,1,42,98.8,1.9074
cdbAw30lWec,1446,37,4,0,90.2,0.0000
Rzul1rdHKMQ,567,23,1,0,95.8,0.0000
